Budget (in dollars),Age,Gender,Education_Level,With children?,Recommended_Activity
252.0,21.0,Female,Other,1,Play: Go shopping
89.0,19.0,NA,High School Grad,0,Play: Visit a movie theater
3844.0,36.0,Transgender,Bachelor’s Degree,1,Explore: Go sightseeing
1292.0,43.0,Female,Bachelor’s Degree,1,Play: Go shopping
4638.0,30.0,Male,Master’s Degree,1,Explore: Hike
2743.0,45.0,Transgender,Master’s Degree,NA,Play: Go shopping
121.0,23.0,Male,NA,1,Play: Visit a movie theater
20.0,23.0,Transgender,Did Not Graduate HS,1,Play: Go shopping
18.0,19.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
231.0,18.0,NA,High School Grad,NA,Play: Go shopping
114.0,20.0,Female,NA,1,Play: Go shopping
196.0,20.0,NA,NA,NA,Play: Visit a movie theater
2148.0,54.0,Transgender,Master’s Degree,0,Stay in: Play a game
1488.0,42.0,Other,Master’s Degree,1,Explore: Visit a park
425.0,43.0,Non-binary,Bachelor’s Degree,0,Play: Go shopping
181.0,20.0,NA,Other,1,Play: Visit a movie theater
229.0,22.0,Male,NA,1,Play: Visit a movie theater
72.0,23.0,Male,Did Not Graduate HS,NA,Play: Visit a movie theater
1043.0,58.0,Non-binary,Bachelor’s Degree,0,Play: Visit a movie theater
175.0,20.0,Transgender,Did Not Graduate HS,0,Play: Go shopping
3761.0,33.0,Transgender,Master’s Degree,NA,Play: Go shopping
61.0,21.0,Male,Did Not Graduate HS,1,Play: Go shopping
171.0,19.0,Other,Master’s Degree,1,Play: Go shopping
33.0,23.0,Non-binary,High School Grad,0,Play: Visit a movie theater
4045.0,85.0,Female,Master’s Degree,1,Stay in: Watch calming TV
548.0,27.0,Non-binary,Bachelor’s Degree,0,Stay in: Watch calming TV
10.0,23.0,Other,Other,NA,Play: Go shopping
41.0,23.0,Non-binary,Other,1,Play: Go shopping
194.0,21.0,Non-binary,NA,1,Play: Go shopping
4679.0,27.0,Non-binary,Master’s Degree,1,Play: Go shopping
43.0,20.0,Male,NA,NA,Play: Visit a movie theater
93.0,23.0,Male,Other,0,Play: Go shopping
282.0,22.0,Other,Did Not Graduate HS,1,Play: Visit a movie theater
159.0,21.0,Transgender,Other,0,Play: Go shopping
97.0,21.0,Female,Other,1,Play: Go shopping
219.0,21.0,NA,Did Not Graduate HS,0,Play: Visit a movie theater
4994.0,29.0,Female,Master’s Degree,1,Learn: Visit a library
2390.0,37.0,Non-binary,Bachelor’s Degree,1,Learn: Visit a library
93.0,23.0,Non-binary,High School Grad,1,Play: Go shopping
2642.0,39.0,Non-binary,Bachelor’s Degree,1,Stay in: Watch calming TV
3954.0,38.0,Non-binary,Master’s Degree,0,Explore: Go sightseeing
253.0,20.0,Transgender,High School Grad,NA,Play: Visit a movie theater
3516.0,34.0,Male,Master’s Degree,NA,Explore: Hike
4023.0,26.0,Male,Master’s Degree,1,Play: Go shopping
220.0,18.0,Female,NA,1,Play: Go shopping
68.0,19.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
2230.0,37.0,Non-binary,Bachelor’s Degree,NA,Play: Visit a movie theater
2885.0,51.0,Transgender,Master’s Degree,0,Explore: Hike
4523.0,28.0,Non-binary,Bachelor’s Degree,NA,Learn: Visit a library
3890.0,25.0,Non-binary,Bachelor’s Degree,NA,Explore: Visit a park
1953.0,27.0,NA,Master’s Degree,1,Play: Go shopping
2303.0,40.0,NA,Bachelor’s Degree,0,Stay in: Watch calming TV
3324.0,46.0,Other,Bachelor’s Degree,0,Play: Visit a movie theater
218.0,21.0,Female,High School Grad,1,Play: Visit a movie theater
3659.0,89.0,Male,Bachelor’s Degree,NA,Play: Visit a movie theater
3557.0,71.0,Female,Master’s Degree,1,Learn: Visit a library
78.0,22.0,Transgender,Other,0,Play: Visit a movie theater
27.0,18.0,Other,Other,1,Play: Visit a movie theater
65.0,22.0,Other,NA,1,Play: Go shopping
2564.0,53.0,NA,Other,NA,Learn: Visit a library
269.0,18.0,Transgender,Other,0,Play: Visit a movie theater
287.0,21.0,Non-binary,Did Not Graduate HS,NA,Play: Go shopping
231.0,21.0,Other,NA,1,Play: Visit a movie theater
343.0,51.0,Non-binary,Bachelor’s Degree,NA,Explore: Hike
42.0,22.0,Male,NA,NA,Play: Go shopping
213.0,20.0,Non-binary,Did Not Graduate HS,0,Play: Go shopping
21.0,20.0,Male,Did Not Graduate HS,NA,Play: Go shopping
111.0,20.0,Female,NA,1,Play: Visit a movie theater
271.0,22.0,Transgender,Did Not Graduate HS,NA,Play: Go shopping
4363.0,45.0,Non-binary,Bachelor’s Degree,NA,Explore: Hike
21.0,20.0,Other,Other,1,Play: Go shopping
2048.0,58.0,Female,Master’s Degree,1,Explore: Visit a park
171.0,21.0,Other,Other,0,Play: Visit a movie theater
7.0,21.0,Female,NA,1,Play: Visit a movie theater
3527.0,30.0,Male,Master’s Degree,NA,Stay in: Play a game
127.0,23.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
236.0,21.0,Non-binary,Did Not Graduate HS,NA,Play: Go shopping
297.0,20.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
225.0,22.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
20.0,22.0,Non-binary,Did Not Graduate HS,0,Play: Visit a movie theater
4204.0,37.0,NA,Master’s Degree,1,Explore: Visit a park
1946.0,50.0,Non-binary,Bachelor’s Degree,1,Explore: Go sightseeing
165.0,19.0,NA,NA,NA,Play: Visit a movie theater
184.0,19.0,Non-binary,High School Grad,NA,Play: Go shopping
1912.0,31.0,NA,Bachelor’s Degree,0,Play: Go shopping
608.0,73.0,NA,Master’s Degree,1,Stay in: Play a game
21.0,20.0,Transgender,High School Grad,1,Play: Visit a movie theater
3002.0,33.0,Male,Master’s Degree,1,Explore: Visit a park
116.0,20.0,Non-binary,Other,0,Play: Go shopping
2033.0,29.0,Female,Master’s Degree,1,Stay in: Color
4825.0,30.0,Transgender,Bachelor’s Degree,NA,Explore: Hike
4252.0,43.0,Transgender,Bachelor’s Degree,0,Explore: Hike
2201.0,61.0,Transgender,Master’s Degree,0,Play: Go shopping
1939.0,33.0,Other,Bachelor’s Degree,1,Stay in: Play a game
281.0,21.0,Transgender,NA,0,Play: Visit a movie theater
189.0,23.0,Other,Other,NA,Play: Go shopping
617.0,27.0,NA,Bachelor’s Degree,0,Play: Visit a movie theater
41.0,20.0,Non-binary,Other,1,Play: Go shopping
2747.0,30.0,Other,Master’s Degree,NA,Stay in: Color
3691.0,38.0,Transgender,Master’s Degree,NA,Explore: Visit a park
144.0,23.0,Transgender,Did Not Graduate HS,0,Play: Visit a movie theater
187.0,20.0,Non-binary,NA,0,Play: Go shopping
64.0,20.0,Transgender,High School Grad,0,Play: Go shopping
2108.0,45.0,NA,Master’s Degree,NA,Stay in: Color
78.0,23.0,Non-binary,Did Not Graduate HS,0,Play: Go shopping
230.0,23.0,Female,NA,1,Play: Visit a movie theater
243.0,18.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
3749.0,31.0,Male,Bachelor’s Degree,1,Play: Visit a movie theater
295.0,18.0,Other,Did Not Graduate HS,NA,Play: Go shopping
4950.0,66.0,Other,Master’s Degree,NA,Stay in: Watch calming TV
204.0,18.0,Female,Did Not Graduate HS,1,Play: Go shopping
688.0,31.0,Female,Master’s Degree,1,Stay in: Color
233.0,23.0,NA,Did Not Graduate HS,NA,Play: Go shopping
209.0,21.0,Female,NA,1,Play: Go shopping
128.0,20.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
93.0,21.0,Non-binary,Other,NA,Play: Visit a movie theater
4300.0,40.0,Female,Bachelor’s Degree,1,Explore: Go sightseeing
208.0,21.0,NA,Other,1,Play: Visit a movie theater
198.0,22.0,NA,NA,1,Play: Go shopping
255.0,18.0,Female,NA,1,Play: Visit a movie theater
55.0,18.0,Female,NA,1,Play: Visit a movie theater
66.0,23.0,Transgender,High School Grad,NA,Play: Go shopping
2841.0,39.0,Male,Bachelor’s Degree,1,Explore: Hike
247.0,22.0,Female,Other,1,Play: Go shopping
76.0,19.0,Non-binary,Did Not Graduate HS,1,Play: Visit a movie theater
58.0,26.0,Transgender,Other,1,Play: Visit a movie theater
2041.0,83.0,Female,Master’s Degree,1,Explore: Visit a park
292.0,18.0,Male,NA,0,Play: Visit a movie theater
203.0,22.0,Transgender,Did Not Graduate HS,NA,Play: Visit a movie theater
157.0,22.0,Non-binary,Other,0,Play: Visit a movie theater
2059.0,26.0,Female,Bachelor’s Degree,1,Play: Go shopping
114.0,22.0,Female,Other,1,Play: Go shopping
4473.0,31.0,Transgender,Master’s Degree,0,Play: Go shopping
3338.0,73.0,Transgender,Bachelor’s Degree,0,Play: Visit a movie theater
185.0,22.0,Male,High School Grad,NA,Play: Visit a movie theater
163.0,18.0,NA,Did Not Graduate HS,NA,Play: Go shopping
12.0,18.0,Male,High School Grad,NA,Play: Go shopping
166.0,23.0,Female,Other,1,Play: Visit a movie theater
231.0,22.0,Transgender,Did Not Graduate HS,0,Play: Visit a movie theater
63.0,23.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
94.0,19.0,Male,High School Grad,1,Play: Visit a movie theater
2040.0,37.0,Female,Bachelor’s Degree,1,Explore: Hike
201.0,21.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
210.0,18.0,Female,High School Grad,1,Play: Visit a movie theater
82.0,21.0,Male,Did Not Graduate HS,1,Play: Go shopping
4706.0,35.0,Male,Bachelor’s Degree,0,Stay in: Color
3354.0,33.0,Transgender,Master’s Degree,1,Explore: Hike
116.0,22.0,Non-binary,Did Not Graduate HS,1,Play: Visit a movie theater
78.0,23.0,NA,Other,NA,Play: Go shopping
2339.0,48.0,Female,Master’s Degree,1,Learn: Visit a library
3641.0,36.0,Female,Master’s Degree,1,Stay in: Watch calming TV
4354.0,36.0,Female,Bachelor’s Degree,1,Explore: Visit a park
114.0,20.0,Other,NA,NA,Play: Visit a movie theater
705.0,50.0,Female,Master’s Degree,1,Play: Go shopping
228.0,19.0,NA,High School Grad,NA,Play: Visit a movie theater
3427.0,38.0,Other,Bachelor’s Degree,0,Explore: Hike
3217.0,30.0,Male,Bachelor’s Degree,0,Stay in: Play a game
5.0,22.0,Non-binary,Did Not Graduate HS,NA,Play: Visit a movie theater
3205.0,27.0,NA,Master’s Degree,0,Stay in: Color
194.0,18.0,Non-binary,Other,NA,Play: Go shopping
1379.0,55.0,NA,Bachelor’s Degree,0,Explore: Visit a park
43.0,19.0,Transgender,Did Not Graduate HS,NA,Play: Visit a movie theater
1453.0,38.0,NA,Bachelor’s Degree,NA,Stay in: Play a game
107.0,20.0,Non-binary,NA,0,Play: Go shopping
4367.0,35.0,Other,Bachelor’s Degree,0,Explore: Go sightseeing
271.0,20.0,NA,Other,0,Play: Go shopping
3327.0,45.0,Male,Master’s Degree,1,Explore: Hike
171.0,23.0,Other,Did Not Graduate HS,0,Play: Go shopping
3706.0,47.0,Female,Master’s Degree,1,Play: Go shopping
290.0,21.0,Non-binary,NA,0,Play: Visit a movie theater
113.0,20.0,Non-binary,NA,0,Play: Visit a movie theater
230.0,19.0,Male,Other,NA,Play: Go shopping
294.0,21.0,Non-binary,Did Not Graduate HS,NA,Play: Go shopping
152.0,20.0,Non-binary,Did Not Graduate HS,1,Play: Visit a movie theater
87.0,23.0,Male,NA,NA,Play: Visit a movie theater
4.0,20.0,Transgender,NA,NA,Play: Go shopping
205.0,22.0,Other,NA,NA,Play: Visit a movie theater
2697.0,36.0,Other,Bachelor’s Degree,NA,Explore: Hike
743.0,46.0,Male,Master’s Degree,0,Stay in: Play a game
171.0,21.0,Female,NA,1,Play: Visit a movie theater
264.0,20.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
103.0,18.0,Transgender,High School Grad,0,Play: Go shopping
227.0,23.0,Non-binary,Other,1,Play: Visit a movie theater
2130.0,35.0,Non-binary,Bachelor’s Degree,0,Play: Go shopping
3804.0,25.0,Female,Bachelor’s Degree,1,Play: Visit a movie theater
144.0,18.0,Other,Other,NA,Play: Visit a movie theater
17.0,18.0,Male,NA,NA,Play: Go shopping
243.0,18.0,NA,Did Not Graduate HS,0,Play: Visit a movie theater
296.0,18.0,Male,Other,0,Play: Go shopping
4942.0,25.0,Male,Master’s Degree,0,Explore: Hike
2.0,20.0,Non-binary,Other,NA,Play: Go shopping
1086.0,28.0,Female,Master’s Degree,1,Stay in: Color
153.0,19.0,Non-binary,NA,NA,Play: Visit a movie theater
4384.0,50.0,Other,Master’s Degree,1,Stay in: Play a game
4692.0,42.0,NA,Master’s Degree,NA,Play: Go shopping
233.0,21.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
2948.0,40.0,Transgender,Bachelor’s Degree,1,Learn: Visit a library
186.0,19.0,Male,Other,NA,Play: Visit a movie theater
262.0,22.0,Other,Did Not Graduate HS,0,Play: Go shopping
2066.0,47.0,Female,Master’s Degree,1,Play: Go shopping
510.0,40.0,Non-binary,Bachelor’s Degree,1,Stay in: Play a game
1806.0,63.0,Other,Master’s Degree,0,Learn: Visit a library
149.0,41.0,Other,NA,1,Play: Go shopping
196.0,19.0,NA,High School Grad,1,Play: Go shopping
1600.0,40.0,Transgender,Master’s Degree,1,Explore: Go sightseeing
594.0,54.0,Male,Bachelor’s Degree,NA,Play: Visit a movie theater
172.0,23.0,Other,NA,NA,Play: Go shopping
228.0,21.0,Non-binary,High School Grad,0,Play: Go shopping
3762.0,28.0,Transgender,Master’s Degree,0,Play: Visit a movie theater
2855.0,29.0,Non-binary,Master’s Degree,1,Stay in: Color
989.0,42.0,Other,Master’s Degree,0,Stay in: Color
31.0,19.0,Male,High School Grad,1,Play: Go shopping
48.0,40.0,Other,High School Grad,NA,Stay in: Play a game
147.0,22.0,Transgender,Other,NA,Play: Go shopping
3237.0,57.0,Female,Bachelor’s Degree,1,Play: Visit a movie theater
3412.0,25.0,NA,Bachelor’s Degree,0,Stay in: Play a game
983.0,38.0,Other,Bachelor’s Degree,0,Stay in: Play a game
141.0,18.0,Male,NA,1,Play: Go shopping
4637.0,35.0,NA,Master’s Degree,1,Stay in: Watch calming TV
4334.0,29.0,Transgender,Master’s Degree,0,Stay in: Color
110.0,20.0,Other,High School Grad,1,Play: Visit a movie theater
1923.0,90.0,Male,Bachelor’s Degree,NA,Play: Go shopping
282.0,22.0,Female,NA,1,Play: Visit a movie theater
132.0,21.0,Transgender,NA,NA,Play: Visit a movie theater
103.0,18.0,Male,Did Not Graduate HS,NA,Play: Visit a movie theater
2902.0,51.0,NA,Master’s Degree,0,Learn: Visit a library
49.0,18.0,NA,High School Grad,NA,Play: Visit a movie theater
297.0,22.0,Other,Other,1,Play: Go shopping
268.0,21.0,Other,NA,NA,Play: Visit a movie theater
160.0,18.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
4781.0,63.0,Male,Bachelor’s Degree,NA,Stay in: Watch calming TV
98.0,19.0,Non-binary,NA,1,Play: Visit a movie theater
286.0,19.0,NA,Other,1,Play: Visit a movie theater
2449.0,27.0,Transgender,Master’s Degree,NA,Learn: Visit a library
139.0,20.0,Transgender,NA,0,Play: Visit a movie theater
101.0,23.0,Female,Other,1,Play: Go shopping
2076.0,38.0,Other,Bachelor’s Degree,1,Stay in: Play a game
257.0,23.0,NA,High School Grad,1,Play: Visit a movie theater
1252.0,33.0,Transgender,Bachelor’s Degree,1,Play: Go shopping
288.0,19.0,NA,Did Not Graduate HS,1,Play: Go shopping
256.0,23.0,Other,High School Grad,NA,Play: Go shopping
1155.0,37.0,Non-binary,Master’s Degree,0,Play: Go shopping
242.0,22.0,Transgender,Did Not Graduate HS,NA,Play: Go shopping
11.0,21.0,NA,NA,1,Play: Go shopping
51.0,20.0,Non-binary,Other,1,Play: Go shopping
2371.0,70.0,Non-binary,Bachelor’s Degree,1,Explore: Hike
88.0,19.0,Male,Other,NA,Play: Visit a movie theater
893.0,61.0,Male,Master’s Degree,NA,Learn: Visit a library
235.0,21.0,NA,Did Not Graduate HS,0,Play: Visit a movie theater
3954.0,90.0,Female,Master’s Degree,1,Stay in: Play a game
904.0,64.0,NA,Master’s Degree,NA,Explore: Go sightseeing
101.0,21.0,Male,High School Grad,NA,Play: Go shopping
236.0,21.0,Non-binary,Other,NA,Play: Go shopping
2171.0,54.0,Transgender,Master’s Degree,NA,Learn: Visit a library
293.0,23.0,Other,NA,1,Play: Go shopping
235.0,18.0,Male,NA,NA,Play: Go shopping
3540.0,38.0,NA,Master’s Degree,1,Stay in: Watch calming TV
1259.0,30.0,Male,Bachelor’s Degree,NA,Play: Visit a movie theater
277.0,18.0,Non-binary,Did Not Graduate HS,0,Play: Visit a movie theater
852.0,36.0,Non-binary,Master’s Degree,1,Explore: Go sightseeing
4877.0,57.0,Female,Bachelor’s Degree,1,Explore: Visit a park
143.0,19.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
28.0,34.0,Male,Other,NA,Explore: Visit a park
2697.0,48.0,Other,Bachelor’s Degree,0,Play: Go shopping
364.0,30.0,Female,Bachelor’s Degree,1,Learn: Visit a library
126.0,21.0,Other,High School Grad,1,Play: Go shopping
198.0,21.0,Other,NA,NA,Play: Visit a movie theater
35.0,22.0,NA,Other,0,Play: Go shopping
134.0,19.0,Non-binary,Did Not Graduate HS,NA,Play: Visit a movie theater
78.0,21.0,NA,NA,1,Play: Visit a movie theater
273.0,21.0,Non-binary,Other,NA,Play: Visit a movie theater
55.0,23.0,Non-binary,High School Grad,NA,Play: Go shopping
31.0,21.0,NA,High School Grad,NA,Play: Visit a movie theater
198.0,19.0,NA,High School Grad,NA,Play: Go shopping
111.0,18.0,Female,Did Not Graduate HS,1,Play: Go shopping
209.0,20.0,Non-binary,Other,0,Play: Visit a movie theater
119.0,23.0,Non-binary,Did Not Graduate HS,NA,Play: Visit a movie theater
153.0,20.0,Transgender,Other,NA,Play: Go shopping
4606.0,34.0,NA,Master’s Degree,1,Learn: Visit a library
133.0,21.0,Non-binary,Other,NA,Play: Go shopping
187.0,23.0,Female,Other,1,Play: Visit a movie theater
222.0,26.0,Female,High School Grad,1,Stay in: Watch calming TV
1248.0,26.0,Non-binary,NA,1,Explore: Hike
2413.0,46.0,Non-binary,Bachelor’s Degree,NA,Play: Visit a movie theater
3270.0,90.0,NA,Bachelor’s Degree,NA,Stay in: Color
250.0,20.0,Transgender,NA,0,Play: Go shopping
4528.0,36.0,Other,Master’s Degree,0,Learn: Visit a library
4743.0,41.0,Non-binary,Bachelor’s Degree,NA,Stay in: Watch calming TV
190.0,18.0,Transgender,Other,NA,Play: Go shopping
4144.0,38.0,Non-binary,Master’s Degree,0,Explore: Go sightseeing
242.0,21.0,NA,NA,0,Play: Go shopping
70.0,34.0,Male,Other,0,Play: Go shopping
15.0,22.0,Male,High School Grad,1,Play: Go shopping
3731.0,51.0,Non-binary,Master’s Degree,1,Explore: Visit a park
66.0,19.0,Male,Other,1,Play: Visit a movie theater
2971.0,42.0,Female,Master’s Degree,1,Play: Go shopping
26.0,19.0,Female,Other,1,Play: Go shopping
9.0,18.0,Other,NA,1,Play: Visit a movie theater
83.0,19.0,Male,Other,0,Play: Go shopping
778.0,25.0,Transgender,Bachelor’s Degree,1,Stay in: Play a game
216.0,19.0,NA,Other,NA,Play: Go shopping
18.0,22.0,Non-binary,NA,1,Play: Visit a movie theater
258.0,22.0,Other,Did Not Graduate HS,1,Play: Visit a movie theater
1067.0,42.0,Female,Master’s Degree,1,Explore: Go sightseeing
4315.0,40.0,Transgender,Master’s Degree,0,Explore: Visit a park
44.0,20.0,Transgender,High School Grad,1,Play: Go shopping
176.0,20.0,Non-binary,High School Grad,1,Play: Go shopping
220.0,19.0,Other,Did Not Graduate HS,NA,Play: Go shopping
96.0,23.0,Transgender,NA,NA,Play: Visit a movie theater
38.0,18.0,Male,Other,0,Play: Visit a movie theater
2464.0,61.0,Female,Master’s Degree,1,Play: Go shopping
114.0,19.0,NA,High School Grad,0,Play: Go shopping
229.0,19.0,Female,Did Not Graduate HS,1,Play: Go shopping
294.0,21.0,Male,Did Not Graduate HS,1,Play: Go shopping
3344.0,29.0,Male,Master’s Degree,NA,Explore: Hike
1151.0,30.0,NA,Bachelor’s Degree,1,Stay in: Color
3037.0,57.0,Transgender,Master’s Degree,NA,Play: Visit a movie theater
163.0,21.0,Female,Did Not Graduate HS,1,Play: Go shopping
226.0,19.0,Transgender,NA,0,Play: Visit a movie theater
64.0,23.0,Male,Other,0,Play: Go shopping
3170.0,81.0,NA,Bachelor’s Degree,1,Explore: Go sightseeing
2212.0,27.0,Female,Master’s Degree,1,Explore: Go sightseeing
242.0,22.0,Non-binary,Other,NA,Play: Visit a movie theater
652.0,38.0,Transgender,Master’s Degree,0,Explore: Go sightseeing
215.0,19.0,NA,Other,1,Play: Go shopping
3239.0,54.0,Female,Bachelor’s Degree,1,Stay in: Play a game
3364.0,28.0,Non-binary,Master’s Degree,0,Learn: Visit a library
4774.0,25.0,Other,Bachelor’s Degree,0,Explore: Hike
3333.0,35.0,Female,Master’s Degree,1,Stay in: Play a game
287.0,19.0,Female,High School Grad,1,Play: Visit a movie theater
3569.0,39.0,NA,Bachelor’s Degree,0,Explore: Hike
210.0,22.0,Male,Other,NA,Play: Visit a movie theater
2960.0,35.0,Non-binary,Master’s Degree,NA,Explore: Hike
4902.0,62.0,NA,Master’s Degree,1,Play: Go shopping
2132.0,41.0,Non-binary,Bachelor’s Degree,1,Explore: Go sightseeing
3622.0,55.0,NA,Bachelor’s Degree,0,Stay in: Play a game
2321.0,43.0,Other,Master’s Degree,1,Explore: Visit a park
22.0,19.0,Male,High School Grad,0,Play: Visit a movie theater
6.0,23.0,Other,High School Grad,0,Play: Visit a movie theater
4.0,23.0,Male,Other,NA,Play: Go shopping
4825.0,43.0,Transgender,Bachelor’s Degree,0,Stay in: Play a game
273.0,21.0,Female,Other,1,Play: Visit a movie theater
336.0,91.0,Female,Master’s Degree,1,Stay in: Color
246.0,23.0,Non-binary,High School Grad,NA,Play: Visit a movie theater
3584.0,64.0,Transgender,Bachelor’s Degree,NA,Stay in: Watch calming TV
245.0,19.0,NA,Other,0,Play: Go shopping
2993.0,29.0,Transgender,Master’s Degree,0,Play: Visit a movie theater
52.0,20.0,NA,Other,NA,Play: Visit a movie theater
3856.0,34.0,Transgender,Master’s Degree,1,Explore: Go sightseeing
76.0,22.0,Transgender,NA,NA,Play: Go shopping
4365.0,27.0,Non-binary,Bachelor’s Degree,0,Explore: Hike
40.0,32.0,Male,Did Not Graduate HS,1,Stay in: Watch calming TV
916.0,28.0,Male,Master’s Degree,1,Explore: Hike
646.0,54.0,Female,Master’s Degree,1,Learn: Visit a library
3682.0,42.0,Non-binary,Bachelor’s Degree,NA,Explore: Hike
287.0,22.0,NA,NA,1,Play: Go shopping
3311.0,30.0,Other,Bachelor’s Degree,NA,Explore: Go sightseeing
1053.0,36.0,Non-binary,Bachelor’s Degree,0,Play: Visit a movie theater
169.0,23.0,Other,NA,NA,Play: Visit a movie theater
2601.0,64.0,NA,Bachelor’s Degree,1,Stay in: Color
275.0,18.0,Female,High School Grad,1,Play: Go shopping
2168.0,57.0,Other,Bachelor’s Degree,1,Learn: Visit a library
117.0,50.0,Female,NA,1,Explore: Hike
154.0,20.0,Female,NA,1,Play: Go shopping
825.0,32.0,NA,Master’s Degree,1,Stay in: Color
3.0,23.0,Other,Did Not Graduate HS,1,Play: Visit a movie theater
288.0,21.0,Transgender,Other,0,Play: Go shopping
83.0,19.0,Female,Other,1,Play: Go shopping
8.0,21.0,Female,High School Grad,1,Play: Visit a movie theater
82.0,19.0,Transgender,Did Not Graduate HS,NA,Play: Visit a movie theater
94.0,23.0,Transgender,Other,NA,Play: Go shopping
60.0,23.0,NA,Did Not Graduate HS,1,Play: Go shopping
197.0,22.0,Male,Other,1,Play: Go shopping
147.0,20.0,Non-binary,High School Grad,NA,Play: Visit a movie theater
946.0,25.0,Female,Bachelor’s Degree,1,Learn: Visit a library
3149.0,56.0,Non-binary,Bachelor’s Degree,0,Play: Visit a movie theater
3180.0,31.0,Transgender,Bachelor’s Degree,NA,Explore: Visit a park
1747.0,58.0,Male,Bachelor’s Degree,NA,Play: Visit a movie theater
3425.0,75.0,Female,Master’s Degree,1,Explore: Visit a park
4811.0,57.0,Female,Master’s Degree,1,Explore: Go sightseeing
120.0,21.0,Female,High School Grad,1,Play: Visit a movie theater
263.0,19.0,NA,Other,1,Play: Visit a movie theater
3373.0,60.0,Female,Bachelor’s Degree,1,Explore: Visit a park
180.0,19.0,Non-binary,Did Not Graduate HS,1,Play: Visit a movie theater
3407.0,79.0,Other,Bachelor’s Degree,0,Stay in: Watch calming TV
203.0,20.0,Other,High School Grad,1,Play: Visit a movie theater
4534.0,30.0,Other,Master’s Degree,0,Stay in: Watch calming TV
4549.0,51.0,Other,Master’s Degree,0,Play: Visit a movie theater
1460.0,29.0,Non-binary,Bachelor’s Degree,NA,Play: Visit a movie theater
1595.0,81.0,Transgender,Master’s Degree,1,Learn: Visit a library
62.0,21.0,Other,Other,1,Play: Visit a movie theater
138.0,19.0,Transgender,Did Not Graduate HS,1,Play: Go shopping
246.0,22.0,Non-binary,Did Not Graduate HS,NA,Play: Visit a movie theater
217.0,23.0,Other,High School Grad,NA,Play: Visit a movie theater
436.0,59.0,Transgender,Master’s Degree,0,Stay in: Color
131.0,22.0,Other,NA,1,Play: Go shopping
1121.0,33.0,Female,Bachelor’s Degree,1,Stay in: Color
170.0,23.0,Male,NA,1,Play: Visit a movie theater
202.0,18.0,NA,NA,0,Play: Go shopping
87.0,20.0,Male,High School Grad,NA,Play: Go shopping
4815.0,42.0,Female,Master’s Degree,1,Learn: Visit a library
197.0,28.0,Female,High School Grad,0,Stay in: Watch calming TV
263.0,22.0,Other,Did Not Graduate HS,0,Play: Go shopping
1297.0,78.0,Male,Bachelor’s Degree,NA,Stay in: Color
1328.0,28.0,Transgender,Bachelor’s Degree,0,Stay in: Color
109.0,22.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
291.0,21.0,Transgender,Did Not Graduate HS,NA,Play: Go shopping
130.0,20.0,Male,High School Grad,NA,Play: Visit a movie theater
268.0,19.0,Male,NA,NA,Play: Visit a movie theater
4987.0,42.0,Transgender,Bachelor’s Degree,0,Stay in: Watch calming TV
12.0,18.0,Non-binary,High School Grad,1,Play: Visit a movie theater
3952.0,33.0,Female,Master’s Degree,1,Stay in: Play a game
249.0,22.0,Transgender,High School Grad,1,Play: Go shopping
219.0,22.0,Non-binary,Other,NA,Play: Visit a movie theater
37.0,23.0,NA,Did Not Graduate HS,1,Play: Visit a movie theater
287.0,22.0,Male,NA,1,Play: Go shopping
4060.0,32.0,NA,Master’s Degree,NA,Explore: Visit a park
150.0,21.0,Non-binary,Other,NA,Play: Visit a movie theater
211.0,18.0,Male,NA,0,Play: Go shopping
50.0,20.0,Female,Did Not Graduate HS,1,Play: Go shopping
132.0,21.0,Non-binary,Did Not Graduate HS,NA,Play: Visit a movie theater
151.0,23.0,NA,NA,NA,Play: Visit a movie theater
1370.0,37.0,Non-binary,Master’s Degree,NA,Play: Visit a movie theater
116.0,23.0,Female,Did Not Graduate HS,1,Play: Go shopping
2180.0,37.0,Transgender,Bachelor’s Degree,1,Explore: Visit a park
60.0,19.0,Female,Other,1,Play: Visit a movie theater
917.0,53.0,Other,Master’s Degree,0,Explore: Hike
55.0,23.0,NA,NA,0,Play: Visit a movie theater
213.0,21.0,NA,High School Grad,0,Play: Visit a movie theater
1259.0,63.0,Female,Master’s Degree,1,Learn: Visit a library
37.0,23.0,Other,Did Not Graduate HS,1,Play: Go shopping
1469.0,25.0,Male,Bachelor’s Degree,1,Explore: Hike
94.0,20.0,Other,High School Grad,NA,Play: Go shopping
236.0,18.0,Other,NA,0,Play: Visit a movie theater
